id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000008735	244	199	216	266	559	569	542	606
ENSG00000015475	28	44	38	83	45	72	60	35
ENSG00000025708	725	773	897	760	483	468	469	442
ENSG00000040608	589	584	504	552	344	398	361	267
ENSG00000054611	728	688	616	724	731	693	698	742
ENSG00000069998	228	230	225	215	358	338	418	372
ENSG00000070010	123	112	117	107	174	188	143	178
ENSG00000070371	2223	2168	2016	2127	2035	2096	1852	1919
ENSG00000070413	142	216	313	158	216	177	195	243
ENSG00000073146	847	812	839	829	713	867	743	791
ENSG00000073150	1112	1037	1008	1031	718	817	779	706
ENSG00000075218	606	605	636	591	474	458	423	468
ENSG00000075240	257	305	245	322	254	350	324	348
ENSG00000077935	655	686	679	643	767	738	767	689
ENSG00000077942	1160	1175	1197	1125	1133	1017	1045	1027
ENSG00000079974	384	396	383	367	345	368	356	377
ENSG00000093000	269	319	329	350	259	327	287	237
ENSG00000093009	434	462	527	498	530	528	490	517
ENSG00000093010	252	255	251	224	291	294	303	333
ENSG00000093072	316	459	453	368	432	432	511	372
ENSG00000099899	39	80	36	68	106	68	61	80
ENSG00000099901	221	201	217	197	166	153	195	167
ENSG00000099917	468	432	387	457	604	579	566	589
ENSG00000099940	50	75	43	46	115	125	70	147
ENSG00000099942	216	233	246	207	189	186	190	129
ENSG00000099949	146	158	138	114	75	93	110	107
ENSG00000099954	983	937	984	994	711	817	922	765
ENSG00000099956	684	662	678	720	504	494	456	496
ENSG00000099957	498	639	507	540	615	668	566	615
ENSG00000099958	144	127	167	213	139	100	138	135
ENSG00000099960	389	409	442	386	416	372	398	363
ENSG00000099968	172	212	178	205	206	186	146	191
ENSG00000099984	373	374	406	442	249	238	243	234
ENSG00000099985	133	105	110	121	151	124	146	151
ENSG00000099991	236	209	251	188	183	225	211	215
ENSG00000099992	91	74	148	85	89	102	113	113
ENSG00000099995	159	204	212	145	441	503	518	450
ENSG00000099999	265	265	293	277	339	270	367	362
ENSG00000100003	291	320	372	382	207	209	301	306
ENSG00000100012	134	109	115	86	233	170	203	217
