gene_id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000008735	431.43	353.5	377.03	468.26	967.28	982.12	942.58	1062.22
ENSG00000015475	1575.77	2489.62	2111.06	4650.09	2533.3	3954.76	3259.91	2005.79
ENSG00000025708	6134.2	6650.52	7434.12	6549.42	4181.62	3882.4	4089.1	3781.01
ENSG00000025770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000040608	3280.0	3278.62	2780.18	3070.84	1881.14	2165.49	1980.38	1471.08
ENSG00000054611	3782.83	3597.87	3202.99	3784.73	3754.97	3594.84	3620.9	3837.62
ENSG00000056487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000063515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000069998	1728.81	1751.08	1697.39	1667.04	2762.6	2629.31	3111.07	2976.33
ENSG00000070010	1282.53	1225.15	1203.73	1087.18	1726.89	1822.64	1420.78	1824.42
ENSG00000070371	7126.1	5806.24	6272.63	6928.86	6657.18	7125.23	5805.44	5670.96
ENSG00000070413	731.07	774.56	1507.04	1001.9	919.22	646.06	972.7	1145.93
ENSG00000073146	2530.46	2455.77	2475.87	2424.76	1986.84	2462.46	2105.1	2236.01
ENSG00000073150	4514.34	4158.66	4020.71	4182.82	2866.82	3173.3	3023.83	2815.08
ENSG00000073169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000075218	2170.79	2488.05	2295.31	2065.6	1750.04	1627.35	1467.11	1635.98
ENSG00000075234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000075240	1148.7	1585.68	920.52	1695.33	1237.93	1858.35	1706.01	1491.19
ENSG00000075275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000077935	1607.56	1735.18	1671.28	1600.54	1957.52	1794.48	1891.12	1672.57
ENSG00000077942	12163.68	12844.39	13286.8	12051.47	13019.92	12136.19	13194.43	12656.37
ENSG00000079974	2990.92	3391.55	3228.83	3016.18	2639.65	2816.4	2986.8	3363.59
ENSG00000093000	1732.02	2010.28	1998.99	2626.94	1680.07	2029.26	1752.4	1413.31
ENSG00000093009	5025.25	5055.3	5768.86	5156.34	5297.5	5550.78	4631.98	5142.58
ENSG00000093010	3508.58	3552.15	3561.73	3053.97	4915.37	4721.26	4218.07	5164.73
ENSG00000093072	1796.73	2568.9	2513.24	2069.0	2418.22	2409.79	2845.45	2076.1
ENSG00000093100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099899	1124.71	2318.75	1024.89	1952.3	2991.57	1914.16	1727.12	2283.74
ENSG00000099901	3596.92	3282.86	3518.32	3186.75	2698.03	2464.2	3142.59	2694.69
ENSG00000099904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099910	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099917	5389.68	3543.42	4352.8	5282.41	4258.48	4558.19	6088.19	5402.15
ENSG00000099937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099940	1112.48	1677.01	944.49	1018.94	2504.06	2714.78	1507.26	3259.49
ENSG00000099942	1163.78	1261.29	1308.45	1110.37	996.56	983.53	1005.02	687.9
ENSG00000099949	2997.92	3287.16	2758.85	2532.81	1522.69	1838.19	2169.04	2055.16
ENSG00000099953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099954	2093.76	2003.15	2066.97	2105.71	1475.66	1693.23	1917.83	1609.39
ENSG00000099956	5143.98	4947.61	4920.59	5116.39	3920.2	3605.57	3473.27	3706.05
ENSG00000099957	4298.69	5910.04	4527.96	5218.45	5581.32	5417.01	4765.68	4943.92
ENSG00000099958	1702.75	1551.63	1949.46	2555.14	1665.38	1245.8	1668.43	1588.18
ENSG00000099960	1825.76	1923.71	2047.34	1799.08	1915.06	1700.02	1829.23	1681.91
ENSG00000099968	1656.49	2014.35	1652.91	1841.65	1839.44	1674.91	1179.42	1554.93
ENSG00000099974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099984	4778.77	4842.77	5060.97	5709.69	3104.54	3070.1	3077.93	2985.86
ENSG00000099985	2590.8	2474.29	2088.27	2818.1	2762.22	2610.82	3105.64	3567.91
ENSG00000099991	2101.89	1877.18	2172.61	1654.39	1573.55	1964.07	1799.01	1875.86
ENSG00000099992	1458.51	1124.69	2306.69	1323.59	1383.02	1614.65	1732.47	1728.15
ENSG00000099994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099995	841.77	1469.28	1286.69	812.39	3229.09	3753.69	3846.83	3413.86
ENSG00000099998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099999	4423.25	4566.21	4645.12	5076.61	6389.03	5049.57	6906.72	5496.74
ENSG00000100003	3080.46	3681.94	3572.53	4004.98	2378.72	2015.75	3307.98	3177.2
ENSG00000100012	1193.18	940.43	1093.98	627.09	2104.03	1881.67	2149.23	2080.2
ENSG00000100014	8710.24	8735.13	9227.41	8434.13	8383.89	8501.09	10673.09	10065.92
ENSG00000100023	41.33	68.39	57.6	43.57	92.79	49.84	45.35	24.06
ENSG00000100024	928.74	1005.0	1074.48	969.1	728.09	816.66	687.02	718.69
ENSG00000100027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100029	5152.42	5467.45	4526.66	4929.73	4413.47	4770.2	4702.38	5044.04
ENSG00000100030	2249.11	2409.4	2885.44	2733.88	1706.11	1587.08	1699.8	1478.51
ENSG00000100031	3487.82	2013.23	4194.47	3578.81	3037.65	3004.17	4778.58	2672.58
ENSG00000100033	2265.73	2346.01	1578.32	2723.21	1808.4	2136.72	1885.44	1718.14
ENSG00000100034	2874.34	2675.21	2345.34	2076.9	3401.41	3512.72	3036.99	3512.19
ENSG00000100036	746.45	690.18	603.4	678.53	815.2	638.9	770.0	669.19
ENSG00000100038	4198.9	3479.74	3666.25	3114.4	3323.42	3020.95	2939.86	2914.24
ENSG00000100053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100060	1742.36	1775.16	2137.49	1991.46	2000.09	1879.05	1267.57	1871.43
ENSG00000100065	2148.35	1909.61	2384.47	2090.61	1893.75	1537.09	1600.11	1587.91
ENSG00000100068	805.68	1147.69	1087.34	954.42	1377.34	1423.61	1752.19	1998.63
ENSG00000100075	1886.86	2141.16	1822.49	1861.61	1507.02	1712.28	1541.03	1346.11
ENSG00000100077	2321.69	2114.14	3136.56	1933.82	1785.95	2545.47	2133.48	2540.78
ENSG00000100078	2086.05	2104.07	2253.55	1876.93	1215.27	1172.21	1190.98	1115.46
ENSG00000100079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100083	6472.59	6629.98	5655.92	6227.93	5091.63	5531.89	5320.92	5334.17
ENSG00000100084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100092	2788.85	2541.68	2697.69	3118.44	2088.58	1879.67	1801.02	1936.84
ENSG00000100095	800.67	858.25	682.74	696.71	1503.31	1610.35	1596.88	1268.4
ENSG00000100097	4035.69	4805.52	6063.67	4208.28	4899.09	5813.4	6270.55	6774.08
ENSG00000100099	1782.39	1817.53	1658.55	2072.96	2008.16	2171.66	2209.58	1843.07
ENSG00000100100	5964.48	5069.68	3424.88	4136.92	3984.8	3364.18	3587.26	4147.99
ENSG00000100101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100106	4724.26	4611.83	3787.32	4685.3	5897.57	6114.12	6231.26	5406.96
ENSG00000100109	4264.25	5304.85	5767.93	4987.42	5048.57	5443.02	5211.26	4870.49
ENSG00000100116	3113.02	3321.67	3690.13	2585.56	4027.86	4296.5	4902.73	3871.74
ENSG00000100121	5265.47	5696.28	4396.48	5575.15	3901.95	6160.15	4110.63	4506.51
ENSG00000100122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100124	2594.3	2456.04	2242.54	2552.28	2841.78	3666.94	3061.79	3155.51
ENSG00000100129	11210.7	11915.44	12295.42	11839.46	9386.93	10856.16	9738.2	9457.5
ENSG00000100138	3059.07	1808.93	3996.82	3032.22	4313.11	5927.67	4594.02	6279.98
ENSG00000100139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
