gene_id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000008735	400.17	336.69	337.63	425.06	904.45	900.32	794.63	952.28
ENSG00000015475	1461.6	2371.22	1890.45	4221.07	2368.73	3625.34	2748.23	1798.2
ENSG00000025708	5689.75	6334.23	6657.23	5945.17	3909.97	3559.02	3447.27	3389.69
ENSG00000025770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000040608	3042.35	3122.69	2489.64	2787.52	1758.93	1985.11	1669.53	1318.83
ENSG00000054611	3508.75	3426.76	2868.27	3435.55	3511.04	3295.41	3052.55	3440.44
ENSG00000056487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000063515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000069998	1603.55	1667.8	1520.0	1513.23	2583.13	2410.3	2622.74	2668.29
ENSG00000070010	1189.6	1166.88	1077.94	986.88	1614.71	1670.83	1197.77	1635.6
ENSG00000070371	6609.78	5530.11	5617.12	6289.6	6224.72	6531.74	4894.2	5084.03
ENSG00000070413	678.1	737.72	1349.55	909.47	859.5	592.24	820.02	1027.33
ENSG00000073146	2347.12	2338.97	2217.14	2201.05	1857.77	2257.35	1774.68	2004.59
ENSG00000073150	4187.25	3960.88	3600.54	3796.91	2680.58	2908.98	2549.2	2523.72
ENSG00000073169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000075218	2013.5	2369.72	2055.45	1875.03	1636.36	1491.8	1236.83	1466.66
ENSG00000075234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000075240	1065.47	1510.27	824.32	1538.92	1157.51	1703.56	1438.23	1336.85
ENSG00000075275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000077935	1491.09	1652.65	1496.63	1452.87	1830.36	1645.01	1594.29	1499.47
ENSG00000077942	11282.35	12233.53	11898.29	10939.6	12174.12	11125.31	11123.39	11346.47
ENSG00000079974	2774.21	3230.25	2891.41	2737.91	2468.18	2581.81	2517.98	3015.47
ENSG00000093000	1606.52	1914.67	1790.09	2384.58	1570.93	1860.24	1477.34	1267.04
ENSG00000093009	4661.14	4814.88	5166.0	4680.62	4953.36	5088.43	3904.93	4610.33
ENSG00000093010	3254.37	3383.21	3189.52	2772.21	4596.06	4328.0	3555.99	4630.2
ENSG00000093072	1666.54	2446.73	2250.6	1878.12	2261.13	2209.07	2398.82	1861.23
ENSG00000093100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099899	1043.22	2208.48	917.79	1772.18	2797.23	1754.72	1456.02	2047.38
ENSG00000099901	3336.31	3126.73	3150.65	2892.74	2522.76	2258.94	2649.32	2415.8
ENSG00000099904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099910	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099917	4999.17	3374.9	3897.92	4795.05	3981.84	4178.51	5132.57	4843.05
ENSG00000099937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099940	1031.88	1597.25	845.79	924.93	2341.39	2488.66	1270.68	2922.15
ENSG00000099942	1079.46	1201.3	1171.72	1007.93	931.82	901.61	847.27	616.7
ENSG00000099949	2780.71	3130.83	2470.54	2299.13	1423.77	1685.08	1828.58	1842.45
ENSG00000099953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099954	1942.06	1907.89	1850.96	1911.44	1379.79	1552.2	1616.8	1442.82
ENSG00000099956	4771.27	4712.31	4406.38	4644.35	3665.53	3305.25	2928.1	3322.49
ENSG00000099957	3987.23	5628.97	4054.78	4736.99	5218.74	4965.8	4017.64	4432.23
ENSG00000099958	1579.38	1477.84	1745.73	2319.4	1557.2	1142.03	1406.55	1423.81
ENSG00000099960	1693.48	1832.22	1833.39	1633.09	1790.65	1558.42	1542.11	1507.84
ENSG00000099968	1536.46	1918.55	1480.17	1671.74	1719.95	1535.4	994.3	1394.0
ENSG00000099974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099984	4432.52	4612.46	4532.08	5182.92	2902.86	2814.38	2594.81	2676.83
ENSG00000099985	2403.08	2356.62	1870.04	2558.1	2582.78	2393.35	2618.17	3198.64
ENSG00000099991	1949.59	1787.9	1945.56	1501.76	1471.33	1800.48	1516.63	1681.71
ENSG00000099992	1352.84	1071.2	2065.63	1201.48	1293.18	1480.16	1460.53	1549.29
ENSG00000099994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099995	780.78	1399.4	1152.23	737.44	3019.32	3441.03	3243.02	3060.53
ENSG00000099998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099999	4102.77	4349.05	4159.69	4608.24	5973.98	4628.96	5822.62	4927.85
ENSG00000100003	2857.26	3506.84	3199.19	3635.48	2224.2	1847.85	2788.75	2848.37
ENSG00000100012	1106.73	895.7	979.65	569.23	1967.35	1724.94	1811.88	1864.9
ENSG00000100014	8079.14	8319.7	8263.12	7656.0	7839.26	7793.0	8997.81	9024.13
ENSG00000100023	38.34	65.14	51.58	39.55	86.76	45.69	38.23	21.57
ENSG00000100024	861.45	957.2	962.19	879.69	680.79	748.64	579.19	644.3
ENSG00000100027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100029	4779.1	5207.42	4053.61	4474.91	4126.76	4372.86	3964.28	4521.99
ENSG00000100030	2086.15	2294.81	2583.9	2481.66	1595.28	1454.88	1432.99	1325.48
ENSG00000100031	3235.11	1917.49	3756.14	3248.63	2840.32	2753.93	4028.52	2395.98
ENSG00000100033	2101.56	2234.44	1413.38	2471.96	1690.93	1958.74	1589.49	1540.32
ENSG00000100034	2666.08	2547.98	2100.25	1885.29	3180.45	3220.13	2560.3	3148.69
ENSG00000100036	692.36	657.36	540.34	615.93	762.25	585.68	649.14	599.93
ENSG00000100038	3894.67	3314.25	3283.11	2827.07	3107.53	2769.32	2478.41	2612.63
ENSG00000100053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100060	1616.11	1690.73	1914.11	1807.73	1870.16	1722.53	1068.61	1677.74
ENSG00000100065	1992.69	1818.79	2135.28	1897.73	1770.72	1409.06	1348.95	1423.57
ENSG00000100068	747.3	1093.11	973.71	866.37	1287.87	1305.03	1477.16	1791.78
ENSG00000100075	1750.14	2039.33	1632.03	1689.86	1409.12	1569.66	1299.15	1206.79
ENSG00000100077	2153.47	2013.6	2808.78	1755.41	1669.93	2333.44	1798.61	2277.82
ENSG00000100078	1934.9	2004.0	2018.05	1703.76	1136.33	1074.57	1004.04	1000.01
ENSG00000100079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100083	6003.62	6314.67	5064.86	5653.34	4760.87	5071.12	4485.73	4782.1
ENSG00000100084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100092	2586.78	2420.8	2415.77	2830.73	1952.91	1723.1	1518.33	1736.38
ENSG00000100095	742.65	817.43	611.39	632.44	1405.66	1476.22	1346.23	1137.13
ENSG00000100097	3743.29	4576.98	5430.0	3820.03	4580.83	5329.17	5286.31	6072.98
ENSG00000100099	1653.24	1731.09	1485.23	1881.7	1877.71	1990.77	1862.76	1652.31
ENSG00000100100	5532.32	4828.57	3066.97	3755.24	3725.94	3083.96	3024.19	3718.69
ENSG00000100101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100106	4381.96	4392.5	3391.53	4253.03	5514.45	5604.85	5253.18	4847.35
ENSG00000100109	3955.28	5052.56	5165.17	4527.28	4720.6	4989.64	4393.28	4366.41
ENSG00000100116	2887.46	3163.7	3304.5	2347.01	3766.21	3938.62	4133.18	3471.03
ENSG00000100121	4883.96	5425.37	3937.03	5060.78	3648.47	5647.04	3465.42	4040.1
ENSG00000100122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100124	2406.33	2339.24	2008.19	2316.81	2657.17	3361.5	2581.2	2828.92
ENSG00000100129	10398.43	11348.76	11010.51	10747.15	8777.13	9951.89	8209.66	8478.68
ENSG00000100138	2837.42	1722.9	3579.14	2752.47	4032.92	5433.92	3872.93	5630.02
ENSG00000100139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100142	6881.84	4969.27	8678.65	5239.76	8267.57	7104.82	5912.01	5814.83
ENSG00000100146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100147	2321.81	2363.08	3196.35	2167.84	2704.08	2364.22	3021.43	1419.27
ENSG00000100150	18344.13	23534.4	21337.08	18204.58	21999.09	19475.77	19154.15	19437.0
ENSG00000100151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100162	1531.77	1356.22	1193.75	1838.69	1446.0	1677.3	1682.52	1422.53
ENSG00000100167	2079.77	1528.07	1999.58	1558.43	1728.85	1458.49	1541.41	1852.63
ENSG00000100170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100206	4269.78	2793.04	2578.1	3058.65	4632.47	4512.22	3692.95	4167.45
ENSG00000100207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100209	4997.39	5860.28	4300.34	5105.12	5264.91	4446.14	2987.35	4642.59
ENSG00000100211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100216	448.6	512.14	317.52	634.06	429.39	531.23	442.96	460.67
ENSG00000100218	7604.7	6782.01	9001.81	9002.82	7082.12	5500.34	7731.62	6901.21
ENSG00000100219	2340.57	1925.35	2242.02	2211.46	2306.73	2575.62	1986.74	1706.61
ENSG00000100220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100226	5461.1	8547.34	5395.87	6510.51	4674.53	8351.59	5549.37	4918.97
ENSG00000100227	3499.57	4448.07	3820.97	3359.83	5285.26	4911.52	5232.29	3920.76
ENSG00000100228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100239	2990.83	2767.51	2821.89	2303.02	1957.45	2060.66	1894.6	1662.26
ENSG00000100241	2223.9	2524.11	2584.32	2764.02	3488.31	3013.98	2928.46	2910.75
ENSG00000100242	2255.86	1862.58	3555.44	2154.81	3174.99	1769.96	1503.03	1410.11
ENSG00000100243	680.39	943.29	701.31	543.0	1693.3	1742.11	1662.1	1696.22
ENSG00000100246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100263	567.17	579.12	590.72	666.56	1179.51	1122.58	1278.28	1320.06
ENSG00000100266	3774.72	3772.19	3096.69	4236.32	3488.22	3918.04	4668.75	5165.66
ENSG00000100271	323.14	320.31	235.51	314.84	218.78	256.74	130.04	206.08
ENSG00000100276	717.96	280.67	532.96	404.95	775.46	495.81	195.55	759.06
ENSG00000100280	1424.92	1407.43	1545.63	1419.4	2156.66	1807.68	1586.38	1961.55
ENSG00000100281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100284	9741.69	7190.93	6806.32	7384.94	6348.91	6013.43	4811.17	6965.36
ENSG00000100285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100294	2933.92	3013.25	2943.27	2340.94	2079.94	1746.4	1509.5	2162.33
ENSG00000100296	5990.01	5222.61	6242.44	6374.68	6502.27	7718.2	6836.87	6881.56
ENSG00000100297	4289.64	3013.17	4284.34	4411.63	4638.94	3979.3	4598.11	5405.29
ENSG00000100298	6006.26	6370.26	6162.11	7109.64	4115.07	5061.52	4026.06	5092.22
ENSG00000100299	81.71	28.11	103.84	53.08	0.0	52.55	0.0	0.0
ENSG00000100300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100302	514.28	539.2	602.03	631.8	460.48	420.66	466.38	406.4
ENSG00000100304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100316	3413.39	4163.75	2445.35	3174.13	4717.57	4096.29	4270.05	4730.63
ENSG00000100319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100325	1844.31	1389.53	1950.39	957.41	1155.19	2103.91	1477.65	1713.38
ENSG00000100330	3573.99	3603.67	3219.99	3460.83	3464.65	3488.75	3094.35	3580.53
ENSG00000100335	1044.03	912.86	885.46	1302.0	947.24	998.77	951.46	914.15
ENSG00000100336	3440.07	3655.97	4184.6	3775.11	3392.63	2985.15	2803.73	2849.36
ENSG00000100341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100342	7144.22	6950.69	7162.59	5866.16	8382.98	6983.51	7723.87	6470.7
ENSG00000100344	1458.15	1339.36	1388.38	1212.21	1274.9	1281.4	1730.19	1453.78
ENSG00000100345	3303.98	2761.52	2078.35	2848.91	2444.67	2008.08	1990.06	2196.81
ENSG00000100346	1971.82	2152.84	2014.95	1998.26	3612.97	3430.75	3102.06	3331.07
ENSG00000100347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100350	2646.17	2506.05	2508.84	2461.26	1890.73	1688.6	1809.02	1736.16
ENSG00000100351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100353	2682.95	2104.35	1329.67	2352.57	1482.21	1941.16	1723.74	1899.51
ENSG00000100354	1308.59	1614.14	1202.43	1212.78	2991.48	1864.93	2044.55	2143.09
ENSG00000100359	1389.55	1103.03	1079.86	1020.58	1138.86	989.91	877.5	1574.83
ENSG00000100360	3056.73	3528.76	2466.84	2888.3	2744.37	2988.31	2370.53	2844.7
ENSG00000100362	3882.48	2564.46	2227.22	3458.4	1896.84	1512.4	2428.42	1415.08
ENSG00000100364	9805.17	9957.46	8822.91	9120.08	9360.45	8587.22	7693.39	9001.83
ENSG00000100365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100368	4610.79	3851.6	4250.83	4416.31	3061.97	3138.15	2941.12	3098.22
ENSG00000100372	2769.12	2890.99	3358.3	2393.69	2534.23	3700.09	2138.59	3571.54
ENSG00000100373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000100376	3584.06	3208.04	3617.69	3393.37	2409.27	2618.03	2526.52	2018.03
ENSG00000100379	4763.02	5799.86	4630.27	5214.7	6486.55	5444.56	5628.62	6731.79
ENSG00000100380	4445.24	4812.42	5502.16	6123.4	4105.12	4399.4	4047.11	4737.05
ENSG00000100385	8630.5	7330.2	7101.47	7705.21	4887.74	4800.2	4451.92	5314.9
ENSG00000100387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
