gene_id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000008735	244	199	216	265	558	569	542	604
ENSG00000015475	28	44	38	82	46	72	59	35
ENSG00000025708	733	775	902	762	484	471	468	442
ENSG00000025770	0	0	0	0	0	0	0	0
ENSG00000040608	590	585	504	552	345	398	362	267
ENSG00000054611	725	687	617	724	730	692	698	741
ENSG00000056487	0	0	0	0	0	0	0	0
ENSG00000063515	0	0	0	0	0	0	0	0
ENSG00000069998	230	231	226	217	362	335	421	374
ENSG00000070010	124	116	119	107	175	189	143	182
ENSG00000070371	2237	2179	2029	2137	2036	2099	1859	1926
ENSG00000070413	144	218	316	158	215	179	194	243
ENSG00000073146	848	815	841	831	713	868	743	791
ENSG00000073150	1112	1037	1009	1031	718	817	779	706
ENSG00000073169	0	0	0	0	0	0	0	0
ENSG00000075218	605	608	635	589	474	458	423	469
ENSG00000075234	0	0	0	0	0	0	0	0
ENSG00000075240	256	306	247	318	255	350	321	351
ENSG00000075275	0	0	0	0	0	0	0	0
ENSG00000077935	659	690	680	643	773	746	774	690
ENSG00000077942	1164	1177	1194	1127	1133	1016	1047	1029
ENSG00000079974	387	392	380	366	346	369	358	377
ENSG00000093000	270	321	331	355	264	328	290	238
ENSG00000093009	434	463	529	500	528	527	491	517
ENSG00000093010	253	257	251	225	290	294	303	333
ENSG00000093072	320	468	462	374	441	438	519	373
ENSG00000093100	0	0	0	0	0	0	0	0
ENSG00000099889	0	0	0	0	0	0	0	0
ENSG00000099899	39	80	36	68	106	68	61	80
ENSG00000099901	207	186	203	190	159	149	186	154
ENSG00000099904	0	0	0	0	0	0	0	0
ENSG00000099910	0	0	0	0	0	0	0	0
ENSG00000099917	469	432	387	455	604	579	567	590
ENSG00000099937	0	0	0	0	0	0	0	0
ENSG00000099940	50	75	43	46	115	126	69	148
ENSG00000099942	216	233	246	207	189	187	190	129
ENSG00000099949	147	158	138	114	75	93	110	107
ENSG00000099953	0	0	0	0	0	0	0	0
ENSG00000099954	984	937	985	995	709	817	921	765
ENSG00000099956	689	664	679	722	508	499	457	503
ENSG00000099957	499	636	509	539	616	669	569	615
ENSG00000099958	146	128	169	215	139	100	139	136
ENSG00000099960	390	409	444	387	416	372	398	364
ENSG00000099968	174	211	177	204	207	185	145	191
ENSG00000099974	0	0	0	0	0	0	0	0
ENSG00000099977	0	0	0	0	0	0	0	0
ENSG00000099984	373	373	403	445	247	240	246	234
ENSG00000099985	133	105	111	122	151	125	150	151
ENSG00000099991	239	208	250	188	182	225	210	213
ENSG00000099992	90	75	147	85	89	101	112	113
ENSG00000099994	0	0	0	0	0	0	0	0
ENSG00000099995	159	203	213	145	447	505	524	453
ENSG00000099998	0	0	0	0	0	0	0	0
ENSG00000099999	266	266	294	277	340	270	367	361
ENSG00000100003	295	321	373	381	209	211	301	307
ENSG00000100012	134	109	117	87	233	171	202	216
ENSG00000100014	2146	2266	2131	2102	2134	2282	2360	2400
ENSG00000100023	17	28	24	17	38	21	19	10
ENSG00000100024	172	188	207	185	136	161	138	135
ENSG00000100027	0	0	0	0	0	0	0	0
ENSG00000100028	0	0	0	0	0	0	0	0
ENSG00000100029	853	889	790	839	755	776	791	849
ENSG00000100030	287	283	357	353	187	209	217	178
ENSG00000100031	193	115	256	221	141	173	234	138
ENSG00000100033	350	368	289	393	336	329	284	299
ENSG00000100034	148	157	155	127	297	292	249	292
ENSG00000100036	138	127	113	126	154	121	146	125
ENSG00000100038	250	208	223	187	203	184	180	177
ENSG00000100053	0	0	0	0	0	0	0	0
ENSG00000100055	0	0	0	0	0	0	0	0
ENSG00000100056	0	0	0	0	0	0	0	0
ENSG00000100058	0	0	0	0	0	0	0	0
ENSG00000100060	186	188	245	203	243	191	146	219
ENSG00000100065	778	728	803	692	666	561	567	610
ENSG00000100068	79	112	108	94	141	143	174	198
ENSG00000100075	247	274	249	246	193	218	189	170
ENSG00000100077	237	273	352	274	200	310	261	318
ENSG00000100078	510	510	557	462	307	293	297	275
ENSG00000100079	0	0	0	0	0	0	0	0
ENSG00000100083	209	213	184	200	168	183	175	175
ENSG00000100084	0	0	0	0	0	0	0	0
ENSG00000100092	543	481	623	549	403	376	385	413
ENSG00000100095	253	271	219	223	485	522	513	397
ENSG00000100097	124	134	168	123	157	133	159	146
ENSG00000100099	356	342	325	400	388	426	425	356
ENSG00000100100	333	301	207	253	268	248	215	286
ENSG00000100101	0	0	0	0	0	0	0	0
ENSG00000100104	0	0	0	0	0	0	0	0
ENSG00000100105	0	0	0	0	0	0	0	0
ENSG00000100106	464	475	383	487	580	587	621	528
ENSG00000100109	144	175	199	167	173	188	176	166
ENSG00000100116	392	410	487	343	562	563	567	529
ENSG00000100121	342	333	306	324	245	358	280	286
ENSG00000100122	0	0	0	0	0	0	0	0
ENSG00000100124	145	134	128	143	163	209	177	180
ENSG00000100129	959	1044	1111	1001	787	878	812	806
ENSG00000100138	68	40	90	68	99	135	107	144
ENSG00000100139	0	0	0	0	0	0	0	0
ENSG00000100142	261	192	307	191	278	331	276	247
ENSG00000100146	0	0	0	0	0	0	0	0
ENSG00000100147	72	71	104	68	85	75	105	46
ENSG00000100150	4054	4269	4122	4214	4841	4902	4737	4725
ENSG00000100151	0	0	0	0	0	0	0	0
ENSG00000100154	0	0	0	0	0	0	0	0
ENSG00000100156	0	0	0	0	0	0	0	0
ENSG00000100162	113	95	93	141	104	123	135	111
ENSG00000100167	261	208	263	199	215	194	218	240
ENSG00000100170	0	0	0	0	0	0	0	0
ENSG00000100181	0	0	0	0	0	0	0	0
ENSG00000100191	0	0	0	0	0	0	0	0
ENSG00000100196	0	0	0	0	0	0	0	0
ENSG00000100197	0	0	0	0	0	0	0	0
ENSG00000100201	0	0	0	0	0	0	0	0
ENSG00000100206	440	328	274	340	467	496	455	454
ENSG00000100207	0	0	0	0	0	0	0	0
ENSG00000100209	103	117	92	108	110	96	69	100
ENSG00000100211	0	0	0	0	0	0	0	0
ENSG00000100216	74	98	58	98	74	65	99	88
ENSG00000100218	175	157	202	186	169	143	190	150
ENSG00000100219	232	187	240	225	234	267	225	177
ENSG00000100220	0	0	0	0	0	0	0	0
ENSG00000100221	0	0	0	0	0	0	0	0
ENSG00000100225	0	0	0	0	0	0	0	0
ENSG00000100226	104	147	100	128	100	143	132	94
ENSG00000100227	176	237	203	183	289	261	307	208
ENSG00000100228	0	0	0	0	0	0	0	0
ENSG00000100234	0	0	0	0	0	0	0	0
ENSG00000100239	852	746	824	706	557	613	590	484
ENSG00000100241	961	945	1039	1059	1319	1284	1445	1287
ENSG00000100242	75	61	126	74	107	61	56	50
ENSG00000100243	84	97	84	58	196	202	200	203
ENSG00000100246	0	0	0	0	0	0	0	0
ENSG00000100249	0	0	0	0	0	0	0	0
ENSG00000100253	0	0	0	0	0	0	0	0
ENSG00000100258	0	0	0	0	0	0	0	0
ENSG00000100263	97	96	106	117	200	202	246	236
ENSG00000100266	160	155	137	182	148	174	221	227
ENSG00000100271	51	49	39	51	35	42	23	34
ENSG00000100276	98	38	76	56	108	71	30	107
ENSG00000100280	414	385	472	424	620	542	516	596
ENSG00000100281	0	0	0	0	0	0	0	0
ENSG00000100284	357	262	261	289	235	231	191	269
ENSG00000100285	0	0	0	0	0	0	0	0
ENSG00000100288	0	0	0	0	0	0	0	0
ENSG00000100290	0	0	0	0	0	0	0	0
ENSG00000100292	0	0	0	0	0	0	0	0
ENSG00000100294	154	148	165	132	100	106	86	111
ENSG00000100296	653	595	594	719	601	694	673	709
ENSG00000100297	153	104	157	162	212	183	236	254
ENSG00000100298	266	273	272	338	209	232	210	242
ENSG00000100299	51	24	51	60	45	48	26	25
ENSG00000100300	0	0	0	0	0	0	0	0
ENSG00000100302	184	187	226	233	166	156	187	152
ENSG00000100304	0	0	0	0	0	0	0	0
ENSG00000100307	0	0	0	0	0	0	0	0
ENSG00000100311	0	0	0	0	0	0	0	0
ENSG00000100312	0	0	0	0	0	0	0	0
ENSG00000100314	0	0	0	0	0	0	0	0
ENSG00000100316	203	222	150	200	296	274	313	322
ENSG00000100319	0	0	0	0	0	0	0	0
ENSG00000100320	0	0	0	0	0	0	0	0
ENSG00000100321	0	0	0	0	0	0	0	0
ENSG00000100324	0	0	0	0	0	0	0	0
ENSG00000100325	57	41	61	31	39	66	50	52
ENSG00000100330	1479	1455	1416	1487	1449	1462	1418	1530
ENSG00000100335	257	218	228	331	235	263	260	242
ENSG00000100336	503	511	577	496	447	437	426	422
ENSG00000100341	0	0	0	0	0	0	0	0
ENSG00000100342	480	467	554	474	688	596	683	574
ENSG00000100344	285	262	292	250	252	229	275	253
ENSG00000100345	199	161	133	179	150	126	135	139
ENSG00000100346	1410	1537	1572	1501	2658	2614	2559	2535
ENSG00000100347	0	0	0	0	0	0	0	0
ENSG00000100348	0	0	0	0	0	0	0	0
ENSG00000100350	576	530	570	549	413	379	438	394
ENSG00000100351	0	0	0	0	0	0	0	0
ENSG00000100353	100	74	52	89	55	74	73	75
ENSG00000100354	666	744	695	716	1234	1021	1152	1085
ENSG00000100359	65	53	58	52	55	51	45	76
ENSG00000100360	141	167	145	146	146	172	164	145
ENSG00000100362	131	83	79	119	65	53	91	50
ENSG00000100364	701	721	661	691	673	633	694	684
ENSG00000100365	0	0	0	0	0	0	0	0
ENSG00000100368	943	775	850	856	586	605	615	609
ENSG00000100372	108	116	143	102	108	157	100	154
ENSG00000100373	0	0	0	0	0	0	0	0
ENSG00000100376	296	246	341	307	220	237	230	197
ENSG00000100379	384	394	380	380	516	463	476	507
ENSG00000100380	197	215	278	293	197	219	200	243
ENSG00000100385	644	518	582	559	360	372	359	414
ENSG00000100387	0	0	0	0	0	0	0	0
ENSG00000100393	1700	1632	1551	1570	1466	1524	1460	1554
ENSG00000100395	206	253	227	229	156	168	206	150
ENSG00000100399	0	0	0	0	0	0	0	0
ENSG00000100401	24	19	21	45	28	29	14	29
ENSG00000100403	799	687	675	660	616	652	696	574
ENSG00000100410	0	0	0	0	0	0	0	0
ENSG00000100412	0	0	0	0	0	0	0	0
ENSG00000100413	150	163	147	167	172	184	150	227
ENSG00000100416	311	252	253	237	261	269	231	233
ENSG00000100417	0	0	0	0	0	0	0	0
ENSG00000100418	0	0	0	0	0	0	0	0
ENSG00000100422	0	0	0	0	0	0	0	0
ENSG00000100425	1271	1294	1282	1504	1275	1304	1302	1295
ENSG00000100426	0	0	0	0	0	0	0	0
ENSG00000100427	250	225	197	207	269	228	240	219
ENSG00000100429	106	63	60	96	104	142	131	92
ENSG00000128159	615	702	760	636	914	898	966	912
ENSG00000128165	101	91	129	116	61	118	101	96
ENSG00000128185	0	0	0	0	0	0	0	0
ENSG00000128191	325	279	230	283	542	417	392	507
ENSG00000128203	0	0	0	0	0	0	0	0
ENSG00000128218	62	112	78	71	56	69	70	58
ENSG00000128228	0	0	0	0	0	0	0	0
ENSG00000128242	430	431	474	516	335	298	339	337
ENSG00000128245	0	0	0	0	0	0	0	0
ENSG00000128250	0	0	0	0	0	0	0	0
ENSG00000128253	167	103	107	158	347	279	269	258
ENSG00000128254	0	0	0	0	0	0	0	0
ENSG00000128262	0	0	0	0	0	0	0	0
ENSG00000128266	0	0	0	0	0	0	0	0
ENSG00000128268	0	0	0	0	0	0	0	0
ENSG00000128271	0	0	0	0	0	0	0	0
ENSG00000128272	236	221	217	182	221	207	257	186
ENSG00000128274	0	0	0	0	0	0	0	0
ENSG00000128276	0	0	0	0	0	0	0	0
ENSG00000128283	0	0	0	0	0	0	0	0
ENSG00000128284	495	396	371	365	329	272	288	291
ENSG00000128285	0	0	0	0	0	0	0	0
ENSG00000128294	205	203	202	217	195	196	160	141
ENSG00000128298	388	389	424	379	276	300	347	333
ENSG00000128309	274	258	306	247	237	300	284	345
ENSG00000128310	275	315	282	304	176	295	230	241
ENSG00000128311	74	100	112	96	167	172	147	173
ENSG00000128313	0	0	0	0	0	0	0	0
ENSG00000128322	141	134	149	114	127	112	108	128
ENSG00000128335	414	435	378	383	357	288	398	372
ENSG00000128340	106	93	177	117	112	112	101	110
ENSG00000128342	0	0	0	0	0	0	0	0
ENSG00000128346	93	81	142	112	70	93	145	82
ENSG00000128383	212	186	268	230	232	214	265	211
ENSG00000128394	47	62	71	66	65	51	54	56
ENSG00000128408	190	206	183	195	263	266	189	279
ENSG00000130487	1186	1062	1037	1160	1006	1044	1257	1017
ENSG00000130538	0	0	0	0	0	0	0	0
ENSG00000130540	0	0	0	0	0	0	0	0
