gene_id	entrezgene_id	external_gene_name	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Condition	Control	Call
ENSG00000100346	8911	CACNA1I	calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]	2047.50612291085	-0.7743179498635	0.0465640836664228	-16.6290816632532	4.29120978722219e-62	1.19724753063499e-59	drug	control	YES
ENSG00000185686	23532	PRAME	preferentially expressed antigen in melanoma [Source:HGNC Symbol;Acc:HGNC:9336]	187.79364526499	-2.15972733236868	0.175731863749467	-12.289901707568	1.02630745755226e-34	1.43169890328541e-32	drug	control	YES
ENSG00000008735	23542	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	399.7088635787	-1.25276228447101	0.102902918700895	-12.1742152728668	4.26476005442946e-34	3.96622685061939e-32	drug	control	YES
ENSG00000186575	4771	NF2	neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]	214.880897829674	-1.98663136114453	0.176523197184709	-11.2542226337866	2.20764023560765e-29	1.53982906433634e-27	drug	control	YES
ENSG00000099995	10291	SF3A1	splicing factor 3a subunit 1 [Source:HGNC Symbol;Acc:HGNC:10765]	346.044757315655	-1.53328067767323	0.157595018020134	-9.72924586662597	2.26264139809064e-22	1.26255390013458e-20	drug	control	YES
ENSG00000025708	1890	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	624.602889764051	0.709992774864771	0.0829941531680123	8.55473244515755	1.18142431197976e-17	4.70881975774792e-16	drug	control	YES
ENSG00000100078	50487	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	400.421201941149	0.785376359043979	0.0933341220982194	8.4146755911787	3.939837078156e-17	1.3740181810069e-15	drug	control	YES
ENSG00000100095	23544	SEZ6L	seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763]	360.397232841993	-0.950773378445395	0.116922813943624	-8.13163271030943	4.23546488602351e-16	1.31299411466729e-14	drug	control	YES
ENSG00000170638	80305	TRABD	TraB domain containing [Source:HGNC Symbol;Acc:HGNC:28805]	145.853753702323	-1.25990277893779	0.162431232241238	-7.75653032704093	8.72844443688047e-15	2.43523599788965e-13	drug	control	YES
ENSG00000100243	1727	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]	139.395978914694	-1.20062484136066	0.156256999070047	-7.68365480270384	1.54612932497199e-14	3.9215461969744e-13	drug	control	YES
ENSG00000100263	25807	RHBDD3	rhomboid domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1308]	162.262448298545	-1.0214051439393	0.138510249586016	-7.37422065870293	1.65309196894405e-13	3.72013876887619e-12	drug	control	YES
ENSG00000069998	27440	HDHD5	haloacid dehalogenase like hydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:1843]	299.544190957057	-0.736526589126124	0.102183434790848	-7.20788639209155	5.6827009089963e-13	1.13248110972141e-11	drug	control	YES
ENSG00000099984	2953	GSTT2	glutathione S-transferase theta 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:4642]	319.774248902153	0.700969275822548	0.0982484792908154	7.1346577665358	9.70282681651169e-13	1.80472578787117e-11	drug	control	YES
ENSG00000180957	23760	PITPNB	phosphatidylinositol transfer protein beta [Source:HGNC Symbol;Acc:HGNC:9002]	242.541233737119	-1.02399547642298	0.144447203388918	-7.08906404830779	1.35022030893718e-12	2.35444666370921e-11	drug	control	YES
ENSG00000100385	3560	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	473.897042178032	0.601183728334611	0.0929586214240669	6.46721863044933	9.98231746712937e-11	1.54725920740505e-09	drug	control	YES
ENSG00000182541	3985	LIMK2	LIM domain kinase 2 [Source:HGNC Symbol;Acc:HGNC:6614]	513.470616539025	0.66624870689023	0.103595886156863	6.43122745126587	1.26577583392184e-10	1.85869188244313e-09	drug	control	YES
ENSG00000100354	23112	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	933.027957678333	-0.768211205209152	0.125984773262841	-6.09765121064624	1.07638285091172e-09	1.50155407702185e-08	drug	control	YES
ENSG00000040608	65078	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]	450.148356612461	0.67822281544926	0.118103300249743	5.74262373714434	9.32207123596069e-09	1.18220812492411e-07	drug	control	YES
